annee,csa_eur,casa_eur,total_eur,statut,source_id
2004,900000000,0,900000000,a_confirmer,an-68328
2005,1950000000,0,1950000000,confirme,an-68328
2006,2090000000,0,2090000000,confirme,an-68328
2007,2220000000,0,2220000000,confirme,an-68328
2008,2290000000,0,2290000000,confirme,an-68328
2009,2210000000,0,2210000000,confirme,an-68328
2010,2240000000,0,2240000000,confirme,an-68328
2011,2330000000,0,2330000000,estime,an-68328
2012,2390000000,0,2390000000,confirme,an-68328
2013,2410000000,0,2410000000,confirme,ash-2013
2014,2430000000,0,2430000000,confirme,capgeris-2014
2015,2400000000,700000000,3100000000,estime,cnsa-20ans
2016,2400000000,720000000,3120000000,estime,silvereco-2018
2017,2370000000,743800000,3113800000,confirme,silvereco-2018
2018,2420000000,765400000,3185400000,confirme,abaq-2018
2019,2094200000,784700000,2878900000,confirme,cnsa-jds-2019
2020,2131000000,816500000,2947500000,confirme,cnsa-cc-2024
2021,2200000000,850000000,3050000000,estime,cnsa-20ans
2022,2100000000,900000000,3000000000,estime,previssima-2022
2023,2300000000,900000000,3200000000,confirme,cnsa-20ans
2024,2450000000,970000000,3420000000,confirme,aef-2024
2025,2505000000,978000000,3483000000,confirme,cnsa-cc-2025
2026,2550000000,1020000000,3570000000,a_confirmer,cnsa-cc-2025
